q_mm_per_yr,DIC_mM
50.0,377.1912882445836
69.38775510204081,271.79960476447934
88.77551020408163,212.44107039062754
108.16326530612244,174.36201060362825
127.55102040816327,147.85898499187675
146.9387755102041,128.34981336100412
166.32653061224488,113.38879217168464
185.71428571428572,101.55150068123405
205.10204081632654,91.95210509445072
224.48979591836735,84.0107869272027
243.87755102040816,77.33210512127445
263.265306122449,71.63710513172325
282.65306122448976,66.72336867864476
302.0408163265306,62.4404497431912
321.42857142857144,58.674200393601886
340.81632653061223,55.336446478995796
360.2040816326531,52.35799751836996
379.59183673469386,49.6837987203887
398.9795918367347,47.26949648077902
418.3673469387755,45.07895883898682
437.7551020408163,43.08245483446293
457.14285714285717,41.25529715175132
476.53061224489795,39.576816111316056
495.9183673469388,38.02957432918641
515.3061224489795,36.59875866135564
534.6938775510205,35.2717044350851
554.0816326530612,34.037519565349164
573.469387755102,32.88678491812205
592.8571428571429,31.811313466410663
612.2448979591836,30.803955206640996
631.6326530612245,29.85843800320613
651.0204081632653,28.969236871449205
670.4081632653061,28.131465942137893
689.795918367347,27.340788644947626
709.1836734693877,26.59334262443827
728.5714285714286,25.88567664423613
747.9591836734694,25.214697304208183
767.3469387755102,24.577623835085898
786.734693877551,23.971949577152525
806.1224489795918,23.395409017702022
825.5102040816327,22.84594947340494
844.8979591836735,22.32170667147898
864.2857142857143,21.820983617455248
883.6734693877551,21.342232244785908
903.0612244897959,20.88403742823118
922.4489795918367,20.445103013257295
941.8367346938776,20.024239570947557
961.2244897959183,19.620353634803184
980.6122448979592,19.232438214344015
1000.0,18.85956441222918
